pattern,replace,file,timestamp
INFO,INFO,backend/app/__pycache__/main.cpython-312.pyc,2025-10-09_17-18-28
INFO,INFO,backend/app/main.py,2025-10-09_17-18-28
INFO,INFO,backend/app/tests/utils/schema_inspect.py,2025-10-09_17-18-28
INFO,INFO,Makefile,2025-10-09_17-18-28
INFO,INFO,scripts/sed_auto_rules.txt,2025-10-09_17-18-28
api.legal.local,api.legal.local,backend/app/env.py,2025-10-09_17-18-28
api.legal.local,api.legal.local,Makefile,2025-10-09_17-18-28
api.legal.local,api.legal.local,scripts/sed_auto_rules.txt,2025-10-09_17-18-28
v2.4,v2.4,Makefile,2025-10-09_17-18-28
v2.4,v2.4,scripts/sed_auto_rules.txt,2025-10-09_17-18-28
"apitest","apitest",backend/app/tests/test_auth.py,2025-10-09_17-18-28
"apitest","apitest",scripts/test_auth.sh,2025-10-09_17-18-28
"apitest","apitest",scripts/sed_auto_rules.txt,2025-10-09_17-18-28
